CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Plan Tier,Contract Length,Total Spend,Last Interaction,Churn
259774,33.0,Female,17.0,18.0,9.0,22.0,Basic,Monthly,646.02,22.0,1
436538,48.0,Male,29.0,11.0,2.0,0.0,Basic,Quarterly,542.55,2.0,0
273455,40.0,Male,53.0,6.0,3.0,16.0,Basic,Quarterly,981.59,8.0,0
309035,18.0,Male,31.0,6.0,1.0,3.0,Basic,Annual,975.55,16.0,0
26291,49.0,Male,20.0,15.0,2.0,9.0,Standard,Monthly,433.0,29.0,1
229707,40.0,Female,49.0,27.0,1.0,28.0,Basic,Annual,627.25,30.0,1
204208,20.0,Female,21.0,18.0,5.0,8.0,Basic,Monthly,874.65,26.0,1
191847,38.0,Female,20.0,24.0,3.0,21.0,Basic,Annual,205.0,18.0,1
344676,22.0,Male,40.0,6.0,1.0,4.0,Premium,Quarterly,572.23,21.0,0
445542,44.0,Male,2.0,3.0,4.0,1.0,Standard,Quarterly,778.54,14.0,0
116761,49.0,Female,34.0,29.0,4.0,23.0,Premium,Annual,863.0,6.0,1
394120,48.0,Male,1.0,16.0,2.0,6.0,Premium,Quarterly,564.11,29.0,0
170852,27.0,Female,16.0,26.0,3.0,8.0,Premium,Annual,688.0,29.0,1
312690,25.0,Female,32.0,2.0,2.0,2.0,Standard,Quarterly,827.9,13.0,0
175223,52.0,Female,57.0,8.0,8.0,11.0,Standard,Monthly,704.0,27.0,1
305069,47.0,Male,53.0,6.0,3.0,11.0,Standard,Annual,748.24,27.0,0
367015,26.0,Female,10.0,15.0,1.0,14.0,Premium,Quarterly,849.07,15.0,0
436277,39.0,Male,30.0,20.0,1.0,5.0,Standard,Annual,699.3,18.0,0
240554,53.0,Female,46.0,19.0,1.0,14.0,Basic,Quarterly,474.87,8.0,1
300719,29.0,Male,11.0,6.0,2.0,15.0,Standard,Annual,762.96,26.0,0
353548,43.0,Male,16.0,13.0,4.0,19.0,Standard,Quarterly,942.4,23.0,0
241556,20.0,Male,5.0,2.0,6.0,3.0,Basic,Annual,659.39,11.0,1
426942,34.0,Male,7.0,16.0,0.0,14.0,Standard,Quarterly,546.7,12.0,0
322000,29.0,Female,16.0,14.0,0.0,1.0,Premium,Annual,805.17,5.0,0
170106,26.0,Female,8.0,21.0,9.0,21.0,Basic,Quarterly,142.0,4.0,1
367323,36.0,Male,4.0,3.0,0.0,8.0,Premium,Annual,767.25,20.0,0
352050,24.0,Male,1.0,3.0,0.0,10.0,Standard,Annual,564.4,28.0,0
31111,46.0,Female,60.0,12.0,10.0,8.0,Standard,Quarterly,502.0,24.0,1
372037,47.0,Male,26.0,25.0,4.0,10.0,Standard,Annual,547.91,13.0,0
175683,64.0,Male,46.0,12.0,9.0,25.0,Standard,Monthly,974.0,9.0,1
52065,37.0,Female,6.0,11.0,9.0,15.0,Standard,Annual,560.0,26.0,1
398608,47.0,Male,1.0,12.0,4.0,20.0,Standard,Quarterly,871.11,12.0,0
182801,21.0,Female,20.0,27.0,7.0,10.0,Premium,Quarterly,768.0,15.0,1
404088,45.0,Male,21.0,13.0,0.0,9.0,Premium,Annual,767.13,1.0,0
368426,31.0,Male,4.0,18.0,0.0,10.0,Standard,Quarterly,881.52,12.0,0
392660,35.0,Male,9.0,28.0,1.0,19.0,Basic,Quarterly,519.16,28.0,0
172454,60.0,Male,34.0,20.0,4.0,7.0,Basic,Annual,256.0,20.0,1
284623,45.0,Female,23.0,16.0,3.0,20.0,Standard,Annual,689.35,1.0,0
324537,21.0,Female,58.0,21.0,0.0,12.0,Standard,Annual,805.98,2.0,0
111193,37.0,Male,2.0,25.0,2.0,13.0,Premium,Monthly,735.0,2.0,1
342967,27.0,Male,6.0,26.0,2.0,15.0,Standard,Annual,765.74,6.0,0
335316,24.0,Female,2.0,12.0,1.0,14.0,Standard,Annual,574.32,10.0,0
347315,45.0,Male,4.0,18.0,4.0,8.0,Standard,Annual,537.58,30.0,0
380709,39.0,Male,30.0,23.0,2.0,10.0,Standard,Quarterly,709.55,21.0,0
45282,63.0,Female,4.0,11.0,3.0,17.0,Premium,Quarterly,726.0,30.0,1
330435,29.0,Male,9.0,9.0,1.0,20.0,Premium,Quarterly,747.43,24.0,0
17969,28.0,Female,52.0,9.0,9.0,3.0,Standard,Annual,807.0,11.0,1
59530,18.0,Male,12.0,23.0,1.0,5.0,Standard,Monthly,499.0,10.0,1
286292,44.0,Male,14.0,25.0,4.0,7.0,Standard,Annual,929.85,23.0,0
274925,19.0,Female,30.0,3.0,1.0,1.0,Premium,Quarterly,844.95,11.0,0
337788,34.0,Male,16.0,13.0,3.0,2.0,Standard,Annual,617.13,2.0,0
342195,39.0,Male,52.0,30.0,0.0,1.0,Standard,Annual,691.93,7.0,0
43380,36.0,Female,5.0,3.0,0.0,0.0,Premium,Monthly,575.0,1.0,1
102804,38.0,Female,21.0,4.0,10.0,29.0,Basic,Monthly,760.0,21.0,1
173281,30.0,Female,2.0,10.0,7.0,9.0,Basic,Quarterly,841.0,27.0,1
177338,47.0,Male,1.0,30.0,9.0,26.0,Basic,Quarterly,715.0,16.0,1
350668,24.0,Female,15.0,10.0,2.0,3.0,Premium,Annual,563.09,13.0,0
258159,24.0,Female,1.0,8.0,4.0,28.0,Basic,Monthly,993.11,20.0,1
187543,59.0,Female,3.0,4.0,0.0,29.0,Basic,Quarterly,890.0,14.0,1
251757,27.0,Female,29.0,25.0,7.0,19.0,Premium,Monthly,103.86,12.0,1
165090,56.0,Male,8.0,12.0,0.0,8.0,Premium,Quarterly,523.0,5.0,1
81462,33.0,Male,2.0,19.0,0.0,13.0,Premium,Annual,408.0,20.0,1
309510,24.0,Male,12.0,12.0,0.0,2.0,Premium,Quarterly,586.63,6.0,0
176145,19.0,Female,4.0,19.0,6.0,30.0,Basic,Quarterly,975.0,25.0,1
442733,42.0,Female,15.0,13.0,2.0,7.0,Basic,Quarterly,620.5,9.0,0
81967,36.0,Male,48.0,27.0,4.0,5.0,Basic,Annual,133.0,12.0,1
393784,44.0,Male,38.0,11.0,3.0,11.0,Basic,Annual,879.14,9.0,0
256983,63.0,Female,40.0,13.0,10.0,12.0,Premium,Quarterly,455.01,16.0,1
335451,31.0,Female,1.0,14.0,3.0,17.0,Premium,Quarterly,922.38,3.0,0
319036,31.0,Female,23.0,17.0,0.0,1.0,Standard,Annual,886.94,8.0,0
99282,47.0,Male,1.0,14.0,5.0,0.0,Standard,Annual,666.0,13.0,1
182945,24.0,Male,22.0,16.0,2.0,14.0,Basic,Annual,848.0,14.0,0
303819,44.0,Male,19.0,26.0,4.0,6.0,Premium,Annual,595.45,19.0,0
281880,43.0,Female,51.0,4.0,0.0,11.0,Basic,Quarterly,523.08,15.0,0
296039,28.0,Male,11.0,19.0,2.0,12.0,Premium,Quarterly,565.85,4.0,0
423545,24.0,Female,4.0,1.0,1.0,12.0,Premium,Quarterly,682.26,12.0,0
280495,37.0,Male,26.0,12.0,0.0,8.0,Basic,Annual,824.46,15.0,0
301237,45.0,Female,1.0,7.0,1.0,14.0,Premium,Annual,830.23,8.0,0
327303,38.0,Female,16.0,26.0,3.0,12.0,Standard,Quarterly,936.52,7.0,0
87053,51.0,Female,7.0,30.0,8.0,18.0,Premium,Quarterly,724.0,5.0,1
103825,46.0,Female,29.0,20.0,5.0,4.0,Basic,Annual,612.0,9.0,1
125233,46.0,Female,2.0,10.0,4.0,27.0,Premium,Monthly,588.0,28.0,1
401738,18.0,Male,8.0,26.0,1.0,6.0,Premium,Quarterly,733.8,26.0,0
294335,26.0,Male,1.0,17.0,2.0,17.0,Premium,Quarterly,808.78,7.0,0
332568,46.0,Male,7.0,3.0,1.0,14.0,Standard,Annual,653.37,22.0,0
443545,26.0,Male,23.0,10.0,2.0,15.0,Standard,Quarterly,966.27,16.0,0
231893,28.0,Female,35.0,27.0,3.0,29.0,Standard,Quarterly,266.41,27.0,1
100834,30.0,Male,51.0,16.0,7.0,25.0,Basic,Monthly,490.0,23.0,1
15407,52.0,Female,31.0,14.0,4.0,9.0,Basic,Quarterly,352.0,3.0,1
275510,47.0,Female,10.0,6.0,2.0,10.0,Standard,Annual,824.65,3.0,0
363321,41.0,Male,8.0,29.0,0.0,3.0,Standard,Quarterly,714.48,28.0,0
7885,59.0,Male,19.0,17.0,1.0,13.0,Premium,Monthly,149.0,14.0,1
170858,54.0,Female,12.0,17.0,9.0,25.0,Premium,Annual,664.0,27.0,1
14704,18.0,Male,4.0,9.0,10.0,3.0,Basic,Quarterly,217.0,22.0,1
411372,43.0,Male,39.0,4.0,2.0,4.0,Premium,Annual,893.41,29.0,0
15199,28.0,Female,22.0,6.0,8.0,23.0,Premium,Annual,796.0,16.0,1
115331,29.0,Female,53.0,23.0,3.0,16.0,Basic,Quarterly,562.0,6.0,1
182002,53.0,Female,2.0,15.0,4.0,15.0,Premium,Quarterly,103.0,28.0,1
149852,57.0,Female,2.0,26.0,8.0,10.0,Premium,Monthly,234.0,15.0,1
451,25.0,Female,42.0,13.0,8.0,13.0,Premium,Monthly,849.0,4.0,1
154874,59.0,Female,56.0,22.0,2.0,18.0,Basic,Monthly,678.0,11.0,1
127830,51.0,Female,11.0,19.0,8.0,21.0,Standard,Monthly,192.0,25.0,1
143468,53.0,Female,30.0,10.0,9.0,18.0,Standard,Monthly,501.0,29.0,1
52949,20.0,Female,6.0,9.0,4.0,16.0,Premium,Annual,911.0,13.0,1
328029,21.0,Male,14.0,19.0,1.0,16.0,Premium,Annual,822.53,9.0,0
82830,47.0,Male,18.0,4.0,10.0,18.0,Basic,Annual,318.0,22.0,1
252793,34.0,Female,19.0,4.0,3.0,22.0,Standard,Quarterly,928.78,3.0,1
321274,30.0,Male,48.0,14.0,0.0,4.0,Standard,Quarterly,817.43,11.0,0
24673,48.0,Female,3.0,18.0,7.0,20.0,Basic,Annual,671.0,6.0,1
96909,50.0,Female,59.0,8.0,6.0,6.0,Standard,Annual,780.0,2.0,1
421783,42.0,Male,23.0,25.0,3.0,4.0,Standard,Annual,994.23,15.0,0
259880,44.0,Male,45.0,21.0,6.0,4.0,Premium,Monthly,631.67,7.0,1
127530,48.0,Male,50.0,27.0,1.0,21.0,Standard,Quarterly,678.0,27.0,1
13672,50.0,Female,42.0,25.0,1.0,3.0,Premium,Monthly,544.0,5.0,1
231444,46.0,Male,1.0,9.0,3.0,20.0,Premium,Quarterly,408.92,29.0,1
234152,42.0,Female,18.0,20.0,10.0,29.0,Premium,Monthly,829.09,24.0,1
87060,33.0,Male,8.0,29.0,4.0,29.0,Basic,Monthly,846.0,8.0,1
135933,36.0,Male,50.0,30.0,9.0,20.0,Standard,Quarterly,902.0,30.0,1
427900,27.0,Male,20.0,29.0,2.0,0.0,Basic,Annual,513.8,21.0,0
392856,39.0,Male,9.0,5.0,0.0,19.0,Premium,Quarterly,649.47,2.0,0
334661,20.0,Female,35.0,24.0,0.0,1.0,Standard,Annual,567.95,5.0,0
83826,32.0,Female,22.0,21.0,3.0,25.0,Standard,Quarterly,264.0,16.0,1
436,38.0,Male,41.0,6.0,10.0,26.0,Basic,Monthly,278.0,16.0,1
166846,25.0,Male,9.0,22.0,9.0,1.0,Premium,Monthly,740.0,4.0,1
283028,50.0,Male,9.0,22.0,2.0,12.0,Premium,Annual,825.6,29.0,0
119608,58.0,Female,13.0,21.0,8.0,21.0,Standard,Monthly,992.0,18.0,1
284055,37.0,Female,14.0,23.0,1.0,6.0,Basic,Annual,632.42,2.0,0
261120,28.0,Male,19.0,15.0,2.0,1.0,Standard,Annual,603.8,19.0,0
33494,64.0,Female,56.0,2.0,4.0,27.0,Premium,Quarterly,956.0,8.0,1
46952,64.0,Female,49.0,13.0,5.0,14.0,Premium,Annual,268.0,28.0,1
336318,31.0,Male,17.0,16.0,3.0,12.0,Standard,Quarterly,551.94,26.0,0
