CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Plan Tier,Contract Length,Total Spend,Last Interaction,Churn
164376,23.0,Female,10.0,16.0,8.0,16.0,Premium,Quarterly,589.0,13.0,1
131603,33.0,Male,3.0,20.0,0.0,22.0,Basic,Quarterly,158.0,12.0,1
22407,27.0,Female,57.0,3.0,0.0,24.0,Standard,Annual,915.0,26.0,1
102279,35.0,Female,28.0,23.0,5.0,13.0,Basic,Annual,334.0,29.0,1
308111,28.0,Male,53.0,30.0,2.0,5.0,Basic,Annual,568.86,15.0,0
387955,29.0,Female,29.0,1.0,2.0,18.0,Standard,Annual,689.16,11.0,0
436343,35.0,Male,25.0,21.0,2.0,1.0,Premium,Quarterly,797.47,9.0,0
402798,19.0,Female,10.0,2.0,1.0,17.0,Basic,Quarterly,614.9,3.0,0
56652,41.0,Female,20.0,22.0,0.0,15.0,Basic,Monthly,814.0,6.0,1
84498,24.0,Female,21.0,2.0,3.0,4.0,Premium,Monthly,542.0,29.0,1
67800,34.0,Male,54.0,10.0,6.0,8.0,Premium,Annual,702.0,7.0,1
401728,25.0,Male,21.0,17.0,0.0,16.0,Basic,Annual,987.98,1.0,0
377593,48.0,Male,48.0,18.0,2.0,20.0,Premium,Annual,763.46,11.0,0
429572,34.0,Male,56.0,25.0,1.0,20.0,Basic,Quarterly,510.41,18.0,0
32610,24.0,Male,10.0,6.0,9.0,25.0,Premium,Annual,167.0,12.0,1
31527,37.0,Female,32.0,6.0,7.0,17.0,Basic,Monthly,565.0,14.0,1
242322,27.0,Female,43.0,19.0,9.0,28.0,Standard,Monthly,191.73,2.0,1
79053,29.0,Female,33.0,13.0,6.0,12.0,Basic,Monthly,661.0,23.0,1
352780,47.0,Female,53.0,18.0,3.0,10.0,Standard,Annual,553.47,14.0,0
313952,38.0,Male,22.0,13.0,0.0,7.0,Standard,Annual,936.37,1.0,0
354206,39.0,Male,43.0,14.0,0.0,20.0,Basic,Quarterly,717.67,16.0,0
211486,40.0,Female,31.0,16.0,8.0,25.0,Basic,Annual,576.78,10.0,1
151852,59.0,Female,60.0,10.0,5.0,7.0,Standard,Annual,164.0,25.0,1
432845,48.0,Male,41.0,28.0,3.0,20.0,Standard,Annual,551.64,11.0,0
406268,20.0,Male,31.0,15.0,2.0,12.0,Premium,Annual,533.79,4.0,0
441867,41.0,Male,26.0,1.0,4.0,3.0,Premium,Quarterly,900.07,17.0,0
294446,20.0,Male,26.0,9.0,0.0,10.0,Premium,Annual,991.99,27.0,0
284798,36.0,Male,43.0,29.0,0.0,5.0,Premium,Annual,878.83,5.0,0
